id,calmar,pnl,max_dd,sharpe,win_rate,trade_count,avg_ttr,topN,windowDays,f1Anchor,f1Max,w2,w3,f4Boost,maxTtrDays
1125be373ffd922f5e54900eeb050a5b,1052.4862,94375.76,89.67,2.1368,0.4733,35319,-0.2,5,60,20,5,0.3,0.5,1,
3a03bc4f8565503a39a5a9011f488cc7,1051.6801,96454.40,91.71,2.7166,0.5028,23884,-0.5,5,60,100,5,0.6,1,1.5,3
6d82e46e73857085d7de69a47e3b8381,1043.1165,99995.22,95.86,2.5374,0.5223,46927,-0.2,10,60,100,5,0.6,0.5,2,
9bb6629aa245a47263f421d55b1d0176,1026.1576,95302.53,92.87,2.2701,0.5213,58056,-0.2,20,14,20,5,0.6,1,1,
c0d2c9d3c689516737b053e7cc319c82,1020.8438,70308.12,68.87,2.5741,0.5224,63820,-0.3,5,14,100,5,0.3,0,2,7
592302e27c00d20881828e3e3ad9daf4,1020.5325,89425.19,87.63,2.2126,0.4740,36714,-0.2,5,60,20,5,0,0.5,1.5,
9256f1a506473dae5fd4c5b3bf8fb0d1,1017.4637,83099.28,81.67,2.4572,0.5248,48201,-0.2,20,60,20,5,0.3,1,2,
de9f3a13d4f466325cbc664779ea1e3d,1002.4993,85353.11,85.14,2.2153,0.5095,53868,-0.3,10,60,500,5,0,1,1,14
149e56c5c45ee21424e9138d22252e6b,1000.7066,84972.94,84.91,2.3070,0.5249,57399,-0.2,10,14,20,5,0,1,1,7
4e0396f3c832b1df66e0ad207a186391,993.1141,96261.87,96.93,2.4573,0.4667,31954,-0.2,5,60,20,5,0.6,0.5,1.5,
21d34b7c2112364af88a0ce23887a316,988.9251,70007.45,70.79,2.5168,0.5176,65472,-0.3,5,14,500,3,0.6,0.5,1,14
2fec20e9e84d9c6d9c1e4534a3f4565c,984.0145,67830.23,68.93,2.4259,0.5227,63914,-0.3,5,14,20,3,0.3,0,2,30
64a46d14bbf8455de863dd2ea2f9049b,968.3628,51038.68,52.71,2.2519,0.5141,40472,-0.3,5,60,20,3,0,0,1,14
86ee06100b11cb3ef47b46d211a7e869,955.3509,89993.90,94.20,2.7656,0.4875,49984,-0.2,5,30,100,5,0.6,0,1,
af024aa666d21b02d665f45037fd568d,945.9697,79810.03,84.37,2.2856,0.5182,48478,-0.3,10,60,100,5,0.3,0.5,2,7
0161c41e9b9474476414fa79417faef1,945.9697,79810.03,84.37,2.2856,0.5182,48478,-0.3,10,60,100,5,0.3,0.5,2,7
5f7fa601e19a5e2650fa79c0db7ab858,944.7288,89402.01,94.63,2.2896,0.5143,61776,-0.2,10,30,100,5,0,1,2,
b312b66604843cb6ea4ffdcb203b817e,941.5966,65775.66,69.86,2.4809,0.5087,49427,-0.4,5,14,100,3,0.6,0.5,1,3
4afa33b4ab21bab2c2ec6529b4e40f4d,939.1294,68049.06,72.46,2.6443,0.4987,24765,-0.5,5,60,20,5,0.6,0,2,3
dbdc285272eb40a14310e2707588e344,938.2324,67461.83,71.90,2.1661,0.5146,44307,-0.3,5,60,500,3,0,1,1,30
842b59d1b54cab57f321d0ddf43265f5,906.6198,85670.77,94.49,2.6052,0.4881,50423,-0.2,5,30,100,3,0.3,0.5,1.5,
360453a6c319d989555993c2c7c3dde5,901.2594,61151.06,67.85,2.4491,0.5107,42420,-0.3,5,60,100,3,0.3,0.5,2,7
14f33c670f8cc0f0f3fd9022019082d2,890.7496,74970.10,84.17,2.6190,0.5186,51464,-0.3,10,60,500,5,0.6,0.5,2,30
fcef69ed858808ef9cdc5364fcdedc41,878.1741,48689.08,55.44,2.3555,0.4952,26919,-0.4,5,60,100,5,0,0,1,3
7b65a9ce84b3f192c6a1dbb8add58493,871.2487,56921.72,65.33,2.5091,0.5220,64019,-0.3,5,14,500,5,0.3,0,2,7
dcc52d415b7d63586c57a9357be48587,868.3139,56532.89,65.11,2.4241,0.5169,40301,-0.3,5,60,20,3,0.6,0,1,30
7d84918c5c7e47efc1dafc041cb30bae,856.1847,81872.33,95.62,2.5870,0.4762,36706,-0.2,5,60,100,5,0.6,0.5,2,
14686fd345814847467aec73d4ece4e6,855.4958,60652.49,70.90,2.2880,0.5148,38277,-0.4,10,60,20,5,0.3,0,1,3
2ea841ddac0a88e063a6696128178cc0,854.5950,62637.60,73.30,2.5770,0.5057,51706,-0.3,5,30,500,5,0,0,2,14
ed66e106440806674d380d916b6225a3,850.7921,61456.42,72.23,2.4264,0.5204,39079,-0.3,5,60,100,3,0.3,0.5,2,30
bb0b59f55e8257d003a46d8502e15388,840.2471,81227.26,96.67,2.4658,0.4663,31699,-0.2,5,60,500,5,0.6,1,2,
ef93428fb8ac52bf4b43830c2c9abf6c,837.3168,70129.47,83.76,2.3881,0.5094,53281,-0.3,10,60,500,5,0.3,0.5,1,14
0c1208fcae31309a6e6337ee0d83623c,833.9103,61388.93,73.62,2.6162,0.5168,51634,-0.3,5,30,100,3,0,0,1.5,30
f2044feedff90817c46baabb375f7ab8,831.2425,63882.55,76.85,2.2732,0.5231,63864,-0.3,5,14,500,3,0,0.5,2,30
08e23156f8e3f64e6e3d6c5be92ac528,828.2315,58246.08,70.33,2.5992,0.5058,51835,-0.3,5,30,500,3,0.3,0,1,14
32c9b1a0c9bb574cd6c654cfa6990de5,824.1319,71889.84,87.23,2.3253,0.5074,63712,-0.2,10,30,100,5,0,1,2,14
d36a005cb1726a2b390cb3d7921fb099,809.5415,58668.92,72.47,2.2714,0.5200,38551,-0.3,5,60,100,3,0,0.5,1,30
ac5fe9993307c4b34ce1bc39cda3e2f4,808.4281,64676.98,80.00,2.3576,0.5293,55943,-0.2,20,60,20,5,0.6,0.5,1.5,7
862ce5078fc3fec26d499f68d36fa64c,802.6102,65182.01,81.21,2.3583,0.5282,56423,-0.2,20,14,20,5,0.6,0.5,2,7
2ee838d976c856987775daa87b30510c,801.6123,70802.16,88.32,2.3066,0.5134,46909,-0.4,10,30,100,5,0.3,1,1.5,3
7ae62c108cdd1a8f1983f91c13a44403,800.4464,63093.81,78.82,2.5058,0.5238,63871,-0.3,5,14,100,5,0,0,1,30
56d1c769a87850fafd165960bfabba54,799.0668,50444.50,63.13,2.2246,0.5115,42734,-0.3,5,60,500,3,0,0.5,2,7
ac12ac7b8d493798d330607f2f89bb00,773.5564,61996.59,80.14,2.4271,0.5274,54221,-0.2,10,14,500,5,0.6,1,2,30
06405249410982a5ec90380730cb25b6,770.9807,62223.86,80.71,2.3714,0.5277,54375,-0.2,10,30,20,5,0.6,0.5,1,7
d6d11c2bb21f7bc0ee419fe3bdc92bf3,768.4577,60611.82,78.87,2.2562,0.5224,49902,-0.2,20,30,20,3,0,1,2,
24c6a8f8f13a18706f1f5a48548fbddc,766.5705,60786.86,79.30,2.1387,0.5248,56094,-0.2,20,30,20,3,0.3,1,1.5,7
1cec007bf8229a0eb3faeabd1202f05d,762.0834,61141.46,80.23,2.4915,0.5313,51623,-0.2,10,30,20,5,0.6,0.5,2,30
bc4166222735e98ca115f83bdbdf4e7f,760.2465,69984.28,92.05,2.3077,0.5201,48969,-0.2,10,60,20,3,0.6,0,1,
8ed70cfbb553049e4c23ab2d8c9a1482,757.6517,60374.30,79.69,2.1971,0.5116,53652,-0.3,10,60,100,3,0,0.5,1,7
15738fefbeaca4c86d3d804255bb3d7b,736.9974,61963.78,84.08,2.2736,0.5273,56247,-0.2,20,60,20,5,0.3,0.5,1.5,7
6ee21287c433830053457c1e7cac69a5,731.8322,38387.75,52.45,2.3347,0.4977,29449,-0.4,5,60,100,3,0,0,1.5,3
7d4e1986297986b5e4874f7a08d3a40a,728.3705,69064.78,94.82,2.3726,0.5224,47885,-0.2,10,60,500,3,0.6,0.5,1.5,
357fd3154885d66040350cac9d0d69e5,726.0582,61319.85,84.46,2.3884,0.5412,50469,-0.2,20,30,500,5,0.6,1,1.5,7
3106b9176a18c438cc7c5002d6dc9a14,721.1094,68101.87,94.44,2.4620,0.5391,57490,-0.2,5,14,100,5,0.3,0,2,
8e5fb5fbc7bb5e07facc8f52096f7f1c,710.9218,59183.90,83.25,2.3150,0.5234,49479,-0.2,20,60,20,3,0.3,1,2,
8c6700974f6f3673721652b16bc57a09,710.7752,62731.62,88.26,2.1790,0.5171,52461,-0.3,10,60,500,5,0,0.5,2,30
921e0385d855f19732a68982041fbae0,708.5174,61723.59,87.12,2.3826,0.5215,57892,-0.2,10,14,20,5,0,0.5,2,14
407bcd69c6a7049e6453a3b9d06fb183,704.8136,56965.86,80.82,2.3517,0.5165,53576,-0.3,10,60,20,3,0.3,0,1,30
8cc2e1f7aff347b086157f136254b4d5,704.4270,68133.79,96.72,2.1731,0.4741,35922,-0.2,5,60,500,5,0,1,2,
9a8f3ea010040d771f960154bc4bccb3,703.7698,47277.88,67.18,2.4580,0.5197,64865,-0.3,5,14,500,3,0.3,0,1.5,7
16c94966ba78239b976da1be1eb8ab69,687.7897,58713.50,85.37,2.2356,0.5272,55101,-0.3,10,30,20,5,0,0.5,1.5,7
ef5d35c5c96780dd76e7ef056ee9b402,684.0645,65123.95,95.20,2.4013,0.4774,37771,-0.2,5,60,500,3,0.3,1,1.5,
b5213a4cb7d13b15fdea003b8c3f39f9,677.2741,56068.83,82.79,2.4145,0.5124,52809,-0.3,10,60,500,5,0.6,0,1,14
b6193aa9f3accdb66518e16abda099de,674.4549,55835.44,82.79,2.4131,0.5124,52824,-0.3,10,60,500,5,0.6,0,1.5,14
412fb74fde374ed7a1f3754a29e6872a,660.4226,53173.11,80.51,2.2625,0.5013,45317,-0.4,10,30,500,5,0,1,1.5,3
8aacf2b9943b0ae416e5b43d11954d8d,656.1858,53619.11,81.71,2.2739,0.5161,53588,-0.3,10,60,20,3,0,0,1.5,30
822295db616bfe020d90a867cdc78664,651.9121,47323.46,72.59,2.4390,0.5115,45591,-0.4,5,14,100,3,0.6,0,1,3
15f0ccdd4ae5e8e3d474c5748b829003,640.1426,56432.77,88.16,2.1340,0.5067,64087,-0.2,10,30,500,5,0,1,2,14
973e9ad0959f552cf8cd5fef75775515,638.3962,53652.71,84.04,2.2780,0.5228,57690,-0.2,10,30,100,3,0.3,1,1.5,30
747bd5eb415ce587334348820e3fb333,638.3962,53652.71,84.04,2.2780,0.5228,57690,-0.2,10,30,100,3,0.3,1,1.5,30
74db9e3e65374e88c74da0e0f592877f,622.2672,42141.99,67.72,2.4496,0.5072,43780,-0.3,5,60,100,3,0,0,2,14
3b7aa324d93c53b436e6a12fed3cad88,613.4694,51614.63,84.14,2.3328,0.5287,54274,-0.2,20,60,100,3,0.6,1,1.5,30
12ef961250714cf9c53fcfa62394b019,611.9548,53899.36,88.08,2.0969,0.5176,52781,-0.3,10,60,500,3,0,0.5,2,30
8f3272ee50b4dee12425586adf07301e,602.6231,53447.16,88.69,2.1811,0.5220,58056,-0.2,10,30,500,5,0,1,2,30
2c6d14ba77690105318a8c33ad62f1c1,602.1055,46012.59,76.42,2.5690,0.5193,45772,-0.4,20,60,500,3,0.6,1,1.5,3
3aea6d22ae5f0d5a3981c93d4e44d694,600.3815,51787.62,86.26,2.1954,0.5194,59759,-0.2,10,14,100,3,0,1,1,14
